Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
hadoop,org.apache.hadoop.yarn.applications.distributedshell,DSConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DISTRIBUTEDSHELLSCRIPTLOCATION; DISTRIBUTEDSHELLSCRIPTTIMESTAMP; DISTRIBUTEDSHELLSCRIPTLEN; DISTRIBUTEDSHELLTIMELINEDOMAIN
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestFSDownload.TEST_FILE_TYPE,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.util,TestFSDownload.TEST_FILE_TYPE,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin.WindowsResourceCalculatorPluginTester,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: infoStr
hadoop,org.apache.hadoop.yarn.util,TestWindowsResourceCalculatorPlugin.WindowsResourceCalculatorPluginTester,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree.RogueTaskThread,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree.RogueTaskThread,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree.ProcessStatInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree.ProcessStatInfo,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: pid; name; ppid; pgrpId; session; vmem; rssmemPage; utime; stime
hadoop,org.apache.hadoop.yarn.util,TestLinuxResourceCalculatorPlugin.FakeLinuxResourceCalculatorPlugin,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: currentTime
hadoop,org.apache.hadoop.yarn.util,TestLinuxResourceCalculatorPlugin.FakeLinuxResourceCalculatorPlugin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestWindowsBasedProcessTree,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestWindowsBasedProcessTree.WindowsBasedProcessTreeTester,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: infoStr
hadoop,org.apache.hadoop.yarn.util,TestWindowsBasedProcessTree.WindowsBasedProcessTreeTester,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestRackResolver,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; invalidHost; numHost1; resolvedHost1
hadoop,org.apache.hadoop.yarn.util,TestRackResolver.MyResolver,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: numHost1; resolvedHost1
hadoop,org.apache.hadoop.yarn.util,TestRackResolver.MyResolver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestRackResolver.MyResolver,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: numHost1; resolvedHost1
hadoop,org.apache.hadoop.yarn.util,TestResourceCalculatorProcessTree.EmptyProcessTree,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.util,TestResourceCalculatorProcessTree.EmptyProcessTree,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,ProcfsBasedProcessTree,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; PROCFS; PROCFS_STAT_FILE_FORMAT; PROCFS_STAT_FILE; PROCFS_CMDLINE_FILE; PAGE_SIZE; JIFFY_LENGTH_IN_MILLIS; cpuTimeTracker; clock; name; SMAPS; KB_TO_BYTES; KB; READ_ONLY_WITH_SHARED_PERMISSION; READ_EXECUTE_WITH_SHARED_PERMISSION; ADDRESS_PATTERN; MEM_INFO_PATTERN; smapsEnabled; processSMAPTree; procfsDir; deadPid; pid; numberPattern; cpuTime; processTree; PROCESSTREE_DUMP_FORMAT; pid; name; pgrpId; ppid; sessionId; vmem; rssmemPage; utime; MAX_LONG; stime; age; dtime; children; pid; memoryInfoList; size; rss; pss; sharedClean; sharedDirty; privateClean; privateDirty; referenced; regionName; permission
hadoop,org.apache.hadoop.yarn.util,ProcfsBasedProcessTree,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ProcfsBasedProcessTree; CpuTimeTracker; ResourceCalculatorProcessTree; WindowsBasedProcessTree
hadoop,org.apache.hadoop.yarn.util,ProcfsBasedProcessTree.MemInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
hadoop,org.apache.hadoop.yarn.util,ProcfsBasedProcessTree.MemInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,ProcfsBasedProcessTree.ProcessInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,ProcfsBasedProcessTree.ProcessInfo,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: pid; name; pgrpId; ppid; sessionId; vmem; rssmemPage; utime; MAX_LONG; stime; age; dtime; children
hadoop,org.apache.hadoop.yarn.util,ProcfsBasedProcessTree.ProcessTreeSmapMemInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: pid; memoryInfoList
hadoop,org.apache.hadoop.yarn.util,ProcfsBasedProcessTree.ProcessTreeSmapMemInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,ProcfsBasedProcessTree.ProcessSmapMemoryInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,ProcfsBasedProcessTree.ProcessSmapMemoryInfo,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: size; rss; pss; sharedClean; sharedDirty; privateClean; privateDirty; referenced; regionName; permission
hadoop,org.apache.hadoop.yarn.util,ApplicationClassLoader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,ConverterUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: APPLICATION_PREFIX; CONTAINER_PREFIX; APPLICATION_ATTEMPT_PREFIX
hadoop,org.apache.hadoop.yarn.util,Apps,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: APP; ID
hadoop,org.apache.hadoop.yarn.util,FSDownload,Feature Envy,The tool detected a instance of this smell because createDir is more interested in members of the type: FileContext
hadoop,org.apache.hadoop.yarn.util,Log4jWarningErrorMetricsAppender,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG_METRICS_APPENDER; MAX_MESSAGE_SIZE; count; timestampSeconds; message; timestamp; errors; warnings; errorsTimestampCount; warningsTimestampCount; errorsPurgeInformation; warningsPurgeInformation; cleanupTimer; cleanupInterval; messageAgeLimitSeconds; maxUniqueMessages; lock
hadoop,org.apache.hadoop.yarn.util,Log4jWarningErrorMetricsAppender.Element,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: count; timestampSeconds
hadoop,org.apache.hadoop.yarn.util,Log4jWarningErrorMetricsAppender.Element,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,Log4jWarningErrorMetricsAppender.Element,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: count; timestampSeconds
hadoop,org.apache.hadoop.yarn.util,Log4jWarningErrorMetricsAppender.PurgeElement,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: message; timestamp
hadoop,org.apache.hadoop.yarn.util,Log4jWarningErrorMetricsAppender.PurgeElement,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,Log4jWarningErrorMetricsAppender.ErrorAndWarningsCleanup,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.util,Log4jWarningErrorMetricsAppender.ErrorAndWarningsCleanup,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,AuxiliaryServiceHelper,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NM_AUX_SERVICE
hadoop,org.apache.hadoop.yarn.util,UTCClock,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,AdHocLogDumper,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; name; targetFilename; appenderLevels; currentLogLevel; AD_HOC_DUMPER_APPENDER; logFlag; lock
hadoop,org.apache.hadoop.yarn.util,AdHocLogDumper.RestoreLogLevel,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.util,AdHocLogDumper.RestoreLogLevel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,WindowsBasedProcessTree.ProcessInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,WindowsBasedProcessTree.ProcessInfo,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: pid; vmem; workingSet; cpuTimeMs; cpuTimeMsDelta; age
hadoop,org.apache.hadoop.yarn.util,AbstractLivelinessMonitor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,AbstractLivelinessMonitor,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; checkerThread; stopped; DEFAULT_EXPIRE; expireInterval; monitorInterval; clock; running
hadoop,org.apache.hadoop.yarn.util,AbstractLivelinessMonitor.PingChecker,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.util,AbstractLivelinessMonitor.PingChecker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,StringHelper,Multifaceted Abstraction,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.8571428571428571
hadoop,org.apache.hadoop.yarn.util,StringHelper,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SSV_JOINER; CSV_JOINER; JOINER; _JOINER; PATH_JOINER; PATH_ARG_JOINER; DOT_JOINER; SSV_SPLITTER; _SPLITTER; ABS_URL_RE
hadoop,org.apache.hadoop.yarn.util,CpuTimeTracker,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: UNAVAILABLE; MINIMUM_UPDATE_INTERVAL; cumulativeCpuTime; lastCumulativeCpuTime; sampleTime; lastSampleTime; cpuUsage; jiffyLengthInMillis
hadoop,org.apache.hadoop.yarn.util,ResourceCalculatorProcessTree,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; UNAVAILABLE
hadoop,org.apache.hadoop.yarn.util,ResourceCalculatorProcessTree,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: ProcfsBasedProcessTree
hadoop,org.apache.hadoop.yarn.server.api,ContainerTerminationContext,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ContainerContext
hadoop,org.apache.hadoop.yarn.server.api,ContainerInitializationContext,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ContainerContext
