Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithInvalidArgs,Long Statement,The length of the statement "Assert.assertTrue("The throw exception is not expected"`e.getMessage().contains("Can not specify shell_command option " + "and shell_script option at the same time"));" is 167.,383
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithInvalidArgs,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"2"`"--master_memory"`"512"`"--master_vcores"`"2"`"--container_memory"`"128"`"--container_vcores"`"1"};" is 159.,383
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithInvalidArgs,Long Statement,The length of the statement "Assert.assertTrue("The throw exception is not expected"`e.getMessage().contains("No shell command or shell script specified " + "to be executed by application master"));" is 169.,383
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithInvalidArgs,Magic Number,The method contains a magic number: 90000,383
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,waitForNMToRegister,Magic Number,The method contains a magic number: 60,533
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,waitForNMToRegister,Magic Number,The method contains a magic number: 2000,533
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testContainerLaunchFailureHandling,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"2"`"--shell_command"`Shell.WINDOWS ? "dir" : "ls"`"--master_memory"`"512"`"--container_memory"`"128"};" is 159.,543
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testContainerLaunchFailureHandling,Magic Number,The method contains a magic number: 90000,543
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDebugFlag,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"2"`"--shell_command"`Shell.WINDOWS ? "dir" : "ls"`"--master_memory"`"512"`"--master_vcores"`"2"`"--container_memory"`"128"`"--container_vcores"`"1"`"--debug"};" is 216.,571
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDebugFlag,Magic Number,The method contains a magic number: 90000,571
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,verifyContainerLog,Complex Conditional,The conditional expression Shell.WINDOWS && !count && output.getName().trim().equals("stdout") is complex.,598
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,verifyContainerLog,Complex Method,Cyclomatic complexity of the method is 13,598
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,verifyContainerLog,Long Statement,The length of the statement "File logFolder=new File(yarnCluster.getNodeManager(0).getConfig().get(YarnConfiguration.NM_LOG_DIRS`YarnConfiguration.DEFAULT_NM_LOG_DIRS));" is 140.,598
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,main,Magic Number,The method contains a magic number: 2,183
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,Client,Long Statement,The length of the statement "opts.addOption("shell_command"`true`"Shell command to be executed by " + "the Application Master. Can only specify either --shell_command " + "or --shell_script");" is 163.,222
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,Client,Long Statement,The length of the statement "opts.addOption("shell_script"`true`"Location of the shell script to be " + "executed. Can only specify either --shell_command or --shell_script");" is 146.,222
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,Client,Long Statement,The length of the statement "opts.addOption("shell_args"`true`"Command line args for the shell script." + "Multiple args can be separated by empty space.");" is 127.,222
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,Client,Long Statement,The length of the statement "opts.addOption("keep_containers_across_application_attempts"`false`"Flag to indicate whether to keep containers across application attempts." + " If the flag is true` running containers will not be killed when" + " application attempt fails and these containers will be retrieved by"+ " the new application attempt ");" is 318.,222
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,init,Complex Conditional,The conditional expression containerMemory < 0 || containerVirtualCores < 0 || numContainers < 1 is complex.,272
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,init,Complex Method,Cyclomatic complexity of the method is 18,272
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,init,Long Statement,The length of the statement "throw new IllegalArgumentException("Invalid memory specified for application master` exiting." + " Specified memory=" + amMemory);" is 130.,272
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,init,Long Statement,The length of the statement "throw new IllegalArgumentException("Invalid virtual cores specified for application master` exiting." + " Specified virtual cores=" + amVCores);" is 144.,272
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,init,Long Statement,The length of the statement "throw new IllegalArgumentException("Can not specify shell_command option " + "and shell_script option at the same time");" is 121.,272
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,init,Long Statement,The length of the statement "throw new IllegalArgumentException("Invalid no. of containers or container memory/vcores specified`" + " exiting." + " Specified containerMemory=" + containerMemory + "` containerVirtualCores="+ containerVirtualCores+ "` numContainer="+ numContainers);" is 252.,272
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Complex Method,Cyclomatic complexity of the method is 19,383
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Long Method,The method has 136 lines of code.,383
