Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
hadoop,org.apache.hadoop.yarn.util,ConverterUtils,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ConverterUtils; BuilderUtils; ContainerTokenIdentifier
hadoop,org.apache.hadoop.yarn.util,Apps,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: APP; ID; SYSTEM_PATH_SEPARATOR
hadoop,org.apache.hadoop.yarn.util,Graph.Edge,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: from; to; label
hadoop,org.apache.hadoop.yarn.util,Graph.Edge,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,Graph.Node,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: parent; id; ins; outs
hadoop,org.apache.hadoop.yarn.util,Graph.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,BuilderUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
hadoop,org.apache.hadoop.yarn.util,BuilderUtils,Hub-like Modularization,The tool detected the smell in this class because this class has high number of incoming as well as outgoing dependencies. Incoming dependecies: TestConverterUtils; ConverterUtils; MockNM; TestRMRestart; Application; TestApplicationACLs; TestApplicationCleanup; TestAMAuthorization; TestRMNodeTransitions; NodeManager; TestClientRMService; MockAM; TestFifoScheduler; TestClientRMTokens; ClientRMService; ApplicationMasterService; TestClientTokens; TestDelegationTokenRenewer; TestApplicationTokens; RMAppImpl; TestRMAppAttemptTransitions; RMAppAttemptImpl; TestQueueMetrics; LeafQueue; AppSchedulable; TestFifoScheduler; FifoScheduler; TestAMRMRPCNodeUpdates; TestAMRMRPCResponseId; TestRMContainerImpl; TestContainerManagerSecurity; BaseContainerTokenSecretManager; TestProxyUriUtils; TestNMWebServer; TestNMWebServicesApps; TestNMWebServicesContainers; MockContainer; MockApp; TestContainerLogsPage; TestNonAggregatingLogHandler; TestContainer; ContainerImpl; TestLogAggregationService; TestApplication; TestResourceLocalizationService; TestLocalResourcesTrackerImpl; TestAggregatedLogFormat; ApplicationTokenIdentifier; ContainerTokenIdentifier; RMDelegationTokenRenewer; ClientTokenIdentifier; AMRMClientImpl; TestYarnCLI; TestClientServiceDelegate; ClientServiceDelegate; NotRunningJob; YARNRunner; TestMRJobsWithHistoryService; MRBuilderUtils; MRApps; TestIds; MRDelegationTokenRenewer; TestMapReduceTrackingUriPlugin; TestHSWebApp; TestHsWebServicesJobs; MockJobs; MRAppBenchmark; MRApp; TestRMContainerAllocator; TestTaskHeartbeatHandler; TestContainerLauncher; TestContainerLauncherImpl; TestAMWebServicesJobs; LocalContainerAllocator; TestTaskAttemptContainerRequest; TestTaskAttempt; TaskAttemptImpl; AMAttemptInfo; RMContainerRequestor; TestJobHistoryParsing; TestJobHistoryEvents; AMAttemptInfo. Outgoing dependencies: RecordFactory; URL; LocalResourceType; LocalResourceVisibility; LocalResource; ApplicationId; ApplicationAttemptId; ContainerId; NodeId; NodeState; Resource; NodeHealthStatus; NodeReport; ContainerState; ContainerStatus; Priority; ContainerToken; Container; DelegationToken; ContainerTokenIdentifier; ContainerLaunchContext; ResourceRequest; YarnApplicationState; FinalApplicationStatus; ApplicationResourceUsageReport; ApplicationReport; AllocateRequest; ConverterUtils; Records; NetUtils; SecurityUtil
hadoop,org.apache.hadoop.yarn.util,BuilderUtils.ApplicationIdComparator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.util,BuilderUtils.ApplicationIdComparator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
