Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSAttemptFailuresValidityIntervalSucess,Magic Number,The method contains a magic number: 2,363
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSAttemptFailuresValidityIntervalFailed,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"1"`"--shell_command"`"sleep 8"`"--master_memory"`"512"`"--container_memory"`"128"`"--attempt_failures_validity_interval"`"15000"};" is 187.,401
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSAttemptFailuresValidityIntervalFailed,Magic Number,The method contains a magic number: 90000,401
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSAttemptFailuresValidityIntervalFailed,Magic Number,The method contains a magic number: 2,401
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithCustomLogPropertyFile,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"3"`"--shell_command"`"echo"`"--shell_args"`"HADOOP"`"--log_properties"`customLogProperty.getAbsolutePath()`"--master_memory"`"512"`"--master_vcores"`"2"`"--container_memory"`"128"`"--container_vcores"`"1"};" is 263.,433
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithCustomLogPropertyFile,Magic Number,The method contains a magic number: 90000,433
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithCustomLogPropertyFile,Magic Number,The method contains a magic number: 3,433
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithCustomLogPropertyFile,Magic Number,The method contains a magic number: 10,433
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithCommands,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"2"`"--shell_command"`"\"echo output_ignored;echo output_expected\""`"--master_memory"`"512"`"--master_vcores"`"2"`"--container_memory"`"128"`"--container_vcores"`"1"};" is 224.,496
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithCommands,Magic Number,The method contains a magic number: 2,496
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithMultipleArgs,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"4"`"--shell_command"`"echo"`"--shell_args"`"HADOOP YARN MAPREDUCE HDFS"`"--master_memory"`"512"`"--master_vcores"`"2"`"--container_memory"`"128"`"--container_vcores"`"1"};" is 228.,528
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithMultipleArgs,Magic Number,The method contains a magic number: 90000,528
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithMultipleArgs,Magic Number,The method contains a magic number: 4,528
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithShellScript,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"1"`"--shell_script"`customShellScript.getAbsolutePath()`"--master_memory"`"512"`"--master_vcores"`"2"`"--container_memory"`"128"`"--container_vcores"`"1"};" is 212.,562
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithShellScript,Magic Number,The method contains a magic number: 90000,562
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithInvalidArgs,Long Statement,The length of the statement "String[] args={"--num_containers"`"2"`"--shell_command"`Shell.WINDOWS ? "dir" : "ls"`"--master_memory"`"512"`"--container_memory"`"128"};" is 137.,610
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithInvalidArgs,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"-1"`"--shell_command"`Shell.WINDOWS ? "dir" : "ls"`"--master_memory"`"512"`"--container_memory"`"128"};" is 160.,610
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithInvalidArgs,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"2"`"--shell_command"`Shell.WINDOWS ? "dir" : "ls"`"--master_memory"`"512"`"--master_vcores"`"-2"`"--container_memory"`"128"`"--container_vcores"`"1"};" is 207.,610
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithInvalidArgs,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"2"`"--shell_command"`Shell.WINDOWS ? "dir" : "ls"`"--master_memory"`"512"`"--master_vcores"`"2"`"--container_memory"`"128"`"--container_vcores"`"1"`"--shell_script"`"test.sh"};" is 233.,610
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithInvalidArgs,Long Statement,The length of the statement "Assert.assertTrue("The throw exception is not expected"`e.getMessage().contains("Can not specify shell_command option " + "and shell_script option at the same time"));" is 167.,610
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithInvalidArgs,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"2"`"--master_memory"`"512"`"--master_vcores"`"2"`"--container_memory"`"128"`"--container_vcores"`"1"};" is 159.,610
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithInvalidArgs,Long Statement,The length of the statement "Assert.assertTrue("The throw exception is not expected"`e.getMessage().contains("No shell command or shell script specified " + "to be executed by application master"));" is 169.,610
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithInvalidArgs,Magic Number,The method contains a magic number: 90000,610
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,waitForNMToRegister,Magic Number,The method contains a magic number: 60,760
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,waitForNMToRegister,Magic Number,The method contains a magic number: 2000,760
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testContainerLaunchFailureHandling,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"2"`"--shell_command"`Shell.WINDOWS ? "dir" : "ls"`"--master_memory"`"512"`"--container_memory"`"128"};" is 159.,770
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testContainerLaunchFailureHandling,Magic Number,The method contains a magic number: 90000,770
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDebugFlag,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"2"`"--shell_command"`Shell.WINDOWS ? "dir" : "ls"`"--master_memory"`"512"`"--master_vcores"`"2"`"--container_memory"`"128"`"--container_vcores"`"1"`"--debug"};" is 216.,798
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDebugFlag,Magic Number,The method contains a magic number: 90000,798
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,verifyContainerLog,Complex Conditional,The conditional expression Shell.WINDOWS && !count && output.getName().trim().equals("stdout") is complex.,825
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,verifyContainerLog,Complex Method,Cyclomatic complexity of the method is 13,825
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,verifyContainerLog,Long Statement,The length of the statement "File logFolder=new File(yarnCluster.getNodeManager(0).getConfig().get(YarnConfiguration.NM_LOG_DIRS`YarnConfiguration.DEFAULT_NM_LOG_DIRS));" is 140.,825
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,main,Magic Number,The method contains a magic number: 2,196
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,Client,Long Statement,The length of the statement "opts.addOption("shell_command"`true`"Shell command to be executed by " + "the Application Master. Can only specify either --shell_command " + "or --shell_script");" is 163.,235
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,Client,Long Statement,The length of the statement "opts.addOption("shell_script"`true`"Location of the shell script to be " + "executed. Can only specify either --shell_command or --shell_script");" is 146.,235
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,Client,Long Statement,The length of the statement "opts.addOption("shell_args"`true`"Command line args for the shell script." + "Multiple args can be separated by empty space.");" is 127.,235
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,Client,Long Statement,The length of the statement "opts.addOption("keep_containers_across_application_attempts"`false`"Flag to indicate whether to keep containers across application attempts." + " If the flag is true` running containers will not be killed when" + " application attempt fails and these containers will be retrieved by"+ " the new application attempt ");" is 318.,235
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,Client,Long Statement,The length of the statement "opts.addOption("attempt_failures_validity_interval"`true`"when attempt_failures_validity_interval in milliseconds is set to > 0`" + "the failure number will not take failures which happen out of " + "the validityInterval into failure count. "+ "If failure count reaches to maxAppAttempts` "+ "the application will be failed.");" is 327.,235
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,Client,Long Statement,The length of the statement "opts.addOption("modify_acls"`true`"Users and groups that allowed to " + "modify the timeline entities in the given domain");" is 124.,235
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,init,Complex Conditional,The conditional expression containerMemory < 0 || containerVirtualCores < 0 || numContainers < 1 is complex.,299
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,init,Complex Method,Cyclomatic complexity of the method is 21,299
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,init,Long Identifier,The length of the field attemptFailuresValidityInterval is 31.,299
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,init,Long Statement,The length of the statement "throw new IllegalArgumentException("Invalid memory specified for application master` exiting." + " Specified memory=" + amMemory);" is 130.,299
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,init,Long Statement,The length of the statement "throw new IllegalArgumentException("Invalid virtual cores specified for application master` exiting." + " Specified virtual cores=" + amVCores);" is 144.,299
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,init,Long Statement,The length of the statement "throw new IllegalArgumentException("Can not specify shell_command option " + "and shell_script option at the same time");" is 121.,299
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,init,Long Statement,The length of the statement "throw new IllegalArgumentException("Invalid no. of containers or container memory/vcores specified`" + " exiting." + " Specified containerMemory=" + containerMemory + "` containerVirtualCores="+ containerVirtualCores+ "` numContainer="+ numContainers);" is 252.,299
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Complex Conditional,The conditional expression domainId != null && domainId.length() > 0 && toCreateDomain is complex.,426
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Complex Method,Cyclomatic complexity of the method is 22,426
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Long Identifier,The length of the field attemptFailuresValidityInterval is 31.,426
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Long Method,The method has 139 lines of code.,426
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Long Statement,The length of the statement "LOG.info("Got node report from ASM for" + "` nodeId=" + node.getNodeId() + "` nodeAddress"+ node.getHttpAddress()+ "` nodeRackName"+ node.getRackName()+ "` nodeNumContainers"+ node.getNumContainers());" is 201.,426
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Long Statement,The length of the statement "LOG.info("Queue info" + "` queueName=" + queueInfo.getQueueName() + "` queueCurrentCapacity="+ queueInfo.getCurrentCapacity()+ "` queueMaxCapacity="+ queueInfo.getMaximumCapacity()+ "` queueApplicationCount="+ queueInfo.getApplications().size()+ "` queueChildQueueCount="+ queueInfo.getChildQueues().size());" is 308.,426
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Long Statement,The length of the statement "LOG.info("AM memory specified above max threshold of cluster. Using max value." + "` specified=" + amMemory + "` max="+ maxMem);" is 128.,426
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Long Statement,The length of the statement "LOG.info("AM virtual cores specified above max threshold of cluster. " + "Using max value." + "` specified=" + amVCores + "` max="+ maxVCores);" is 143.,426
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Long Statement,The length of the statement "StringBuilder classPathEnv=new StringBuilder(Environment.CLASSPATH.$$()).append(ApplicationConstants.CLASS_PATH_SEPARATOR).append("./*");" is 137.,426
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Long Statement,The length of the statement "for ( String c : conf.getStrings(YarnConfiguration.YARN_APPLICATION_CLASSPATH`YarnConfiguration.DEFAULT_YARN_CROSS_PLATFORM_APPLICATION_CLASSPATH)) {" is 149.,426
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,run,Magic Number,The method contains a magic number: 30,426
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,monitorApplication,Long Statement,The length of the statement "LOG.info("Got application report from ASM for" + "` appId=" + appId.getId() + "` clientToAMToken="+ report.getClientToAMToken()+ "` appDiagnostics="+ report.getDiagnostics()+ "` appMasterHost="+ report.getHost()+ "` appQueue="+ report.getQueue()+ "` appMasterRpcPort="+ report.getRpcPort()+ "` appStartTime="+ report.getStartTime()+ "` yarnAppState="+ report.getYarnApplicationState().toString()+ "` distributedFinalState="+ report.getFinalApplicationStatus().toString()+ "` appTrackingUrl="+ report.getTrackingUrl()+ "` appUser="+ report.getUser());" is 550.,707
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,monitorApplication,Long Statement,The length of the statement "LOG.info("Application did finished unsuccessfully." + " YarnState=" + state.toString() + "` DSFinalStatus="+ dsStatus.toString()+ ". Breaking monitoring loop");" is 160.,707
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,monitorApplication,Long Statement,The length of the statement "LOG.info("Application did not finish." + " YarnState=" + state.toString() + "` DSFinalStatus="+ dsStatus.toString()+ ". Breaking monitoring loop");" is 147.,707
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,monitorApplication,Magic Number,The method contains a magic number: 1000,707
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,addToLocalResources,Long Parameter List,The method has 6 parameters. ,791
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,addToLocalResources,Long Statement,The length of the statement "LocalResource scRsrc=LocalResource.newInstance(ConverterUtils.getYarnUrlFromURI(dst.toUri())`LocalResourceType.FILE`LocalResourceVisibility.APPLICATION`scFileStatus.getLen()`scFileStatus.getModificationTime());" is 210.,791
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,addToLocalResources,Magic Number,The method contains a magic number: 0710,791
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,main,Magic Number,The method contains a magic number: 2,278
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,init,Complex Conditional,The conditional expression !scriptPath.isEmpty() && (shellScriptPathTimestamp <= 0 || shellScriptPathLen <= 0) is complex.,341
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,init,Complex Method,Cyclomatic complexity of the method is 24,341
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,init,Long Method,The method has 111 lines of code.,341
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,init,Long Statement,The length of the statement "LOG.info("Application master for app" + "` appId=" + appAttemptID.getApplicationId().getId() + "` clustertimestamp="+ appAttemptID.getApplicationId().getClusterTimestamp()+ "` attemptId="+ appAttemptID.getAttemptId());" is 218.,341
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,init,Long Statement,The length of the statement "LOG.error("Illegal values in env for shell script path" + "` path=" + scriptPath + "` len="+ shellScriptPathLen+ "` timestamp="+ shellScriptPathTimestamp);" is 155.,341
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Long Statement,The length of the statement "publishApplicationAttemptEvent(timelineClient`appAttemptID.toString()`DSEvent.DS_APP_ATTEMPT_START`domainId`appSubmitterUgi);" is 125.,516
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Long Statement,The length of the statement "RegisterApplicationMasterResponse response=amRMClient.registerApplicationMaster(appMasterHostname`appMasterRpcPort`appMasterTrackingUrl);" is 137.,516
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Long Statement,The length of the statement "LOG.info("Container memory specified above max threshold of cluster." + " Using max value." + "` specified=" + containerMemory + "` max="+ maxMem);" is 147.,516
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Long Statement,The length of the statement "LOG.info("Container virtual cores specified above max threshold of cluster." + " Using max value." + "` specified=" + containerVirtualCores + "` max="+ maxVCores);" is 163.,516
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,run,Long Statement,The length of the statement "LOG.info(appAttemptID + " received " + previousAMRunningContainers.size()+ " previous attempts' running containers on AM registration.");" is 137.,516
